country,score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption
Switzerland,1.9312194322868428,1.3652801197851643,1.3160966829491576,1.25940361841719,1.5724380232376411,0.4695467075934913,2.302330965926122
Iceland,1.9085122096987315,1.1316280606141624,1.5096575630501687,1.2853468673623853,1.3282325673531754,1.5708615646367732,-0.01642729755241679
Denmark,1.8788181493912015,1.1890798250307717,1.3567400619840244,0.9890838684874576,1.4650008946841218,0.8216801348634227,2.8337634009036528
Norway,1.8744513758165646,1.5202956965724657,1.2479538541427324,1.0318639217402992,1.6000438573811029,0.8658842862355728,1.846210479721078
Canada,1.791482677898465,1.1910891483976738,1.2173336390432932,1.1145099659619662,1.3561038422095546,1.743020947034379,1.550794362080331
Finland,1.7731422288849905,1.101686661801189,1.201362663541787,1.047648425778717,1.413969917625656,-0.029881266927211218,2.2518453011516457
Netherlands,1.7486882968670248,1.198903183713404,1.061515661966531,1.0627448873334095,1.2418979754766284,1.885026783317411,1.45557140030273
Sweden,1.7364613308580414,1.2045342504329941,1.0941919106937499,1.1357178636956353,1.5341482003992348,0.9892612301546272,2.457786824786143
New Zealand,1.6683396630937073,1.0022871712928334,1.206539462497447,1.1255995918761368,1.398640716454647,1.8764227609967603,2.380975301812435
Australia,1.6665929536638526,1.2091730586997929,1.1682091212938326,1.2194566812738086,1.4773438878348044,1.5654939176844405,1.7740642987067277
Israel,1.6613528253742884,0.9486804083807899,0.8550311419194737,1.1478597898790341,-0.1023601549178363,0.7453490377618707,-0.5462768486508792
Costa Rica,1.615938380198066,0.27198495003852924,0.9062484081829245,0.9309240420689779,1.3613462962896827,0.1395153560096351,-0.3131763700386941
Austria,1.5932311576099547,1.2182274170815122,1.1234536750034059,1.0529504002121346,1.2987686482192886,0.7387184150560481,0.3610488527663151
Mexico,1.5818775463158992,0.43263159354542036,-0.2810008672014429,0.7454358830739246,0.35300338809281784,-0.7621703959976328,0.5806531635675017
United States,1.5224894257008383,1.3603188275212084,0.940136248155085,0.9370759513352331,0.7792348128607323,1.2926122189460072,0.12894809028827792
Brazil,1.4037131844707171,0.33514220055868754,0.8878542501915342,0.2702008922557005,0.41060402279600144,-0.7227024037010702,0.26482617485456594
Luxembourg,1.371399060018405,1.7805402822782703,0.8392437408490196,1.1683796451289779,1.2423624967242348,0.33977594892239354,1.9540965125312206
Ireland,1.3661589317288414,1.2150769964939006,1.389416310711244,1.0728226860656302,1.2552363713007533,1.75012518564776,1.1963949925248503
Belgium,1.3635388675840592,1.1452716143400414,1.0816721344960178,1.0782460797608817,1.0344560583312914,-0.1167897859642419,0.6829574479619845
United Arab Emirates,1.3320980978466739,1.4415847948048057,0.4945643891061729,0.7244303507766449,1.4131735954869022,0.2130047576658349,2.019494609640072
United Kingdom,1.3024040375391437,1.042448832169556,1.081011266544231,1.1298897391276042,1.1124292677509235,2.2246093890370355,1.476648748797685
Oman,1.2901770715301606,1.2749846005811674,0.3332758939840673,0.5362709680212434,1.3545775581102761,-0.1726764630561745,1.514721271573156
Venezuela,1.252622818788284,0.49142290687329754,0.9726289224512524,0.36531264735899033,0.003086168288798776,-1.412050357152832,-0.2726878666056983
Singapore,1.242142562209156,1.6762291124285984,0.10630446743163025,1.5986490359813488,0.7558760301239574,0.5821883576078809,2.9048265561060087
Panama,1.2316623056300273,0.539274570759152,0.7616651862865315,0.6732723684572585,0.7530889026383196,0.05560640438714333,-0.42256197705005893
Germany,1.2002215358926427,1.1951326015927979,1.132008243490419,1.058778524780166,1.235328317831911,0.35398442614915626,0.6248906025035527
Chile,1.1303531586984537,0.6474803550360294,0.48986488367124714,0.924043617231719,0.08431102644167539,0.7604258108191573,-0.12273044648349192
Qatar,1.0788252305177395,2.094366824434799,0.3214537006243318,0.6761864307412739,1.4054094546340536,0.6980663829905888,3.154588970287328
France,1.0473844607803549,1.070753004535424,0.9888569021562313,1.2770498844703961,0.8062434054001285,-0.8996768811588568,0.5251689181222854
Argentina,1.046511106065427,0.5144184965167328,0.9442483154106452,0.6353086125904984,0.14018629651089282,-0.9692194835854,-0.4880433838367558
