country,score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption
Finland,7.769,1.0915262654591522,1.2640266282854216,1.0769540069293035,1.4197099492175156,-0.33432723635672684,2.9871366823643064
Denmark,7.6,1.1994608467156933,1.2172338395643787,1.1182551586774159,1.391794429812703,0.7049943897087507,3.1669588660849697
Norway,7.554,1.463022033504922,1.2473149180279066,1.2504188442713755,1.468562108175938,0.9044601563273779,2.4370923556893334
Iceland,7.494,1.1919305270931437,1.3876932841910352,1.242158613921753,1.3848155499614998,1.7758106105034848,0.07824841629473833
Netherlands,7.488,1.2320922317467404,1.046774394937723,1.1306455042018495,1.1475336350205927,1.4398682667247449,1.9822480086311827
Switzerland,7.48,1.3726581980343293,1.0601437631437354,1.3495416084668452,1.2522168327886394,0.8204745703826927,2.458247906715294
Sweden,7.343,1.2095012728790926,0.9297924231351165,1.1719466559499616,1.2661745924910457,0.8624673633550353,2.7755811721047015
New Zealand,7.307,0.9986523234477093,1.16375636674033,1.242158613921753,1.3429422708542806,1.52385385266943,2.849625600695563
Canada,7.278,1.154278928980397,0.9899545800621707,1.2958501111942986,1.3359633910030775,1.0514349317305762,2.088025763760985
Austria,7.246,1.1818901009297444,0.8896843185170797,1.2008574621736405,0.9730616387405133,0.6210088037640655,1.220648171696605
Australia,7.228,1.1718496747663458,1.1336752882768026,1.2834597656698654,1.1475336350205927,1.5448502491556013,1.8976258045273404
Costa Rica,7.167,0.32343366395911394,0.7760446887659758,0.981961357908645,1.1545125148717958,-0.4288110205444976,-0.18619597152976775
Israel,7.139,0.930879446844765,0.8228374774870185,1.2545489594461863,-0.15053801730319685,0.7994781738965214,-0.30255150217255045
Luxembourg,7.09,1.7667449249477476,0.9030536867230919,1.1843370014743957,0.9311883596332943,0.09609889160978412,2.172647967864827
United Kingdom,7.054,1.0739555196732034,1.100251867761772,1.1182551586774159,0.40079349094185346,1.712821421044971,1.770692498371578
Ireland,7.021,1.4906332054542701,1.1503869985343176,1.1306455042018495,0.8613995611212625,1.1879115088906895,2.109181314786946
Germany,6.985,1.1743597813071953,0.8194951354355151,1.0810841221041148,0.7148430842459959,0.7994781738965214,1.6331814167028347
Belgium,6.923,1.131687970112749,0.9866122380106681,1.0769540069293035,0.5613077275195261,-0.2608398486551274,1.051403763488921
United States,6.892,1.3249661737581833,0.8295221615900247,0.6143811073504453,0.42870901034666614,0.9989439405151486,0.1840261714245409
Czech Republic,6.852,0.9133087010588161,0.9297924231351165,0.8043664053917622,0.44964564990027567,-1.4576344483668895,-0.7891291757696417
